season,batter,matches_played,avg_runs_last_5,avg_sr_last_5,career_avg_runs,runs
2015,AB de Villiers,84,35.2,198.78145316482033,26.738095238095237,57
2015,AB de Villiers,85,41.0,179.95984923683346,27.094117647058823,2
2015,AB de Villiers,86,32.2,158.23571130579893,26.802325581395348,21
2015,AB de Villiers,87,28.2,119.90237797246564,26.735632183908045,47
2015,AB de Villiers,88,34.8,131.0690446391323,26.96590909090909,133
2015,AB de Villiers,89,52.0,147.02854319265208,28.15730337078652,10
2015,AB de Villiers,90,42.6,142.77322404371589,27.955555555555556,0
2015,AB de Villiers,91,42.2,132.77322404371589,27.64835164835165,66
2015,AB de Villiers,92,51.2,135.77322404371589,28.065217391304348,1
2016,AB de Villiers,93,42.0,103.27322404371589,27.774193548387096,82
2016,AB de Villiers,94,31.8,96.93939393939398,28.351063829787233,55
2016,AB de Villiers,95,40.8,110.27272727272732,28.63157894736842,29
2016,AB de Villiers,96,46.6,136.63636363636368,28.635416666666668,83
2016,AB de Villiers,97,50.0,139.7233201581028,29.195876288659793,20
2016,AB de Villiers,98,53.8,158.05665349143615,29.102040816326532,47
2016,AB de Villiers,99,46.8,149.26877470355737,29.282828282828284,4
2016,AB de Villiers,100,36.6,129.26877470355734,29.03,1
2016,AB de Villiers,101,31.0,109.57180500658767,28.752475247524753,64
2016,AB de Villiers,102,27.2,110.0562770562771,29.098039215686274,24
2016,AB de Villiers,103,28.0,102.83405483405488,29.04854368932039,129
2016,AB de Villiers,104,44.4,123.02845163222528,30.009615384615383,59
2016,AB de Villiers,105,55.4,146.57011829889194,30.285714285714285,0
2016,AB de Villiers,106,55.2,139.90345163222528,30.0,6
2016,AB de Villiers,107,43.6,116.66535639413003,29.77570093457944,79
2016,AB de Villiers,108,54.6,131.80424528301893,30.23148148148148,5
2017,AB de Villiers,109,29.8,99.7916666666667,30.0,89
2017,AB de Villiers,110,35.8,99.2431972789116,30.536363636363635,19
2017,AB de Villiers,111,39.6,116.51592455163889,30.43243243243243,29
2017,AB de Villiers,112,44.2,121.30759121830556,30.419642857142858,8
2017,AB de Villiers,113,30.0,115.05759121830556,30.221238938053098,5
2017,AB de Villiers,114,30.0,106.72425788497222,30.0,3
2017,AB de Villiers,115,12.8,77.89772727272732,29.765217391304347,43
2017,AB de Villiers,116,17.6,91.33928571428575,29.879310344827587,10
2017,AB de Villiers,117,13.8,106.54761904761908,29.70940170940171,10
2018,AB de Villiers,118,14.2,104.88095238095244,29.54237288135593,44
2018,AB de Villiers,119,22.0,134.80848861283647,29.66386554621849,57
2018,AB de Villiers,120,32.8,155.80848861283647,29.891666666666666,20
2018,AB de Villiers,121,28.2,147.316425120773,29.8099173553719,1
2018,AB de Villiers,122,26.4,123.98309178743966,29.57377049180328,90
2018,AB de Villiers,123,42.4,143.98309178743966,30.065040650406505,68
2018,AB de Villiers,124,47.2,149.59318996415774,30.370967741935484,1
2018,AB de Villiers,125,36.0,126.09318996415774,30.136,5
2018,AB de Villiers,126,33.0,114.98207885304664,29.936507936507937,72
2018,AB de Villiers,127,47.2,143.90099777196556,30.26771653543307,69
2018,AB de Villiers,128,43.0,132.55953435733142,30.5703125,53
2019,AB de Villiers,129,40.0,118.9742809011102,30.74418604651163,9
2019,AB de Villiers,130,41.6,131.9742809011102,30.576923076923077,70
2019,AB de Villiers,131,54.6,154.19650312333243,30.87786259541985,1
2019,AB de Villiers,132,40.4,125.2775842044135,30.651515151515152,13
2019,AB de Villiers,133,29.2,120.50793650793655,30.518796992481203,63
2019,AB de Villiers,134,31.2,127.28104575163404,30.761194029850746,17
