player,venue,venue_runs_avg,venue_strike_rate_avg
A Symonds,Dr DY Patil Sports Academy,6.8,60.35353535353536
A Symonds,Eden Gardens,38.5,101.83645183645184
A Symonds,Feroz Shah Kotla,54.0,180.0
A Symonds,Himachal Pradesh Cricket Association Stadium,4.0,66.66666666666666
A Symonds,Kingsmead,41.0,186.3636363636364
A Symonds,M Chinnaswamy Stadium,53.0,220.8333333333333
A Symonds,"MA Chidambaram Stadium, Chepauk",50.0,116.27906976744188
A Symonds,New Wanderers Stadium,19.0,139.15413533834587
A Symonds,"Punjab Cricket Association Stadium, Mohali",8.0,133.33333333333331
A Symonds,"Rajiv Gandhi International Stadium, Uppal",57.666666666666664,150.2136752136752
A Symonds,"Sardar Patel Stadium, Motera",22.0,157.14285714285714
A Symonds,Sawai Mansingh Stadium,17.0,65.38461538461539
A Symonds,SuperSport Park,21.0,140.0
A Symonds,"Vidarbha Cricket Association Stadium, Jamtha",20.333333333333332,98.89154704944178
A Symonds,Wankhede Stadium,12.6,86.93387314439947
AB de Villiers,Arun Jaitley Stadium,44.5,142.03413940256047
AB de Villiers,Barabati Stadium,27.0,103.84615384615384
AB de Villiers,Brabourne Stadium,4.0,57.14285714285714
AB de Villiers,Buffalo Park,50.0,131.57894736842107
AB de Villiers,Dr DY Patil Sports Academy,21.0,123.52941176470588
AB de Villiers,Dubai International Cricket Stadium,28.833333333333332,162.10482804232802
AB de Villiers,Eden Gardens,22.714285714285715,127.86032807771937
AB de Villiers,Feroz Shah Kotla,10.0,120.98039215686273
AB de Villiers,Himachal Pradesh Cricket Association Stadium,34.0,125.92592592592592
AB de Villiers,Holkar Cricket Stadium,89.0,193.4782608695652
AB de Villiers,JSCA International Stadium Complex,19.0,120.20202020202021
AB de Villiers,Kingsmead,74.5,158.33333333333334
AB de Villiers,M Chinnaswamy Stadium,30.456521739130434,145.64577967712106
AB de Villiers,M.Chinnaswamy Stadium,47.666666666666664,164.98078137660136
AB de Villiers,MA Chidambaram Stadium,9.0,90.0
AB de Villiers,"MA Chidambaram Stadium, Chepauk",31.285714285714285,160.21954236239952
AB de Villiers,"MA Chidambaram Stadium, Chepauk, Chennai",41.666666666666664,140.43572984749457
AB de Villiers,Maharashtra Cricket Association Stadium,38.25,104.15474828375287
AB de Villiers,"Narendra Modi Stadium, Ahmedabad",39.0,105.95238095238096
AB de Villiers,Nehru Stadium,54.0,135.0
AB de Villiers,New Wanderers Stadium,22.666666666666668,73.85057471264368
AB de Villiers,OUTsurance Oval,45.0,123.14814814814815
AB de Villiers,Punjab Cricket Association IS Bindra Stadium,59.0,155.26315789473685
AB de Villiers,"Punjab Cricket Association IS Bindra Stadium, Mohali",64.0,182.8571428571429
AB de Villiers,"Punjab Cricket Association Stadium, Mohali",26.75,124.57264957264957
AB de Villiers,Rajiv Gandhi International Stadium,3.0,56.25
AB de Villiers,"Rajiv Gandhi International Stadium, Uppal",16.0,70.76537433155082
AB de Villiers,"Sardar Patel Stadium, Motera",31.0,100.36764705882352
AB de Villiers,Saurashtra Cricket Association Stadium,20.0,125.0
AB de Villiers,Sawai Mansingh Stadium,33.2,163.3004773004773
AB de Villiers,Shaheed Veer Narayan Singh International Stadium,6.0,75.0
AB de Villiers,Sharjah Cricket Stadium,22.285714285714285,116.98322510822511
AB de Villiers,Sheikh Zayed Stadium,23.6,109.0
AB de Villiers,St George's Park,21.0,91.30434782608695
AB de Villiers,Subrata Roy Sahara Stadium,29.5,221.19565217391306
AB de Villiers,SuperSport Park,21.75,101.09126984126983
AB de Villiers,Wankhede Stadium,37.875,128.62022011869882
AB de Villiers,"Wankhede Stadium, Mumbai",4.0,44.44444444444444
