career_avg,recent_3_avg,recent_5_avg,recent_10_avg,strike_rate,boundary_ratio,consistency_score,momentum,venue_adjusted_runs,pvt_avg,experience_log,target_next_runs
26.0,26.0,26.0,26.0,130.0,0.19047619047619047,0.0,0.0,1.2501512900918743,26.0,0.6931471805599453,1.0
58.0,58.0,58.0,58.0,118.36734693877551,0.16,0.0,0.0,2.788799031743412,26.4375,0.6931471805599453,12.0
9.0,9.0,9.0,9.0,47.368421052631575,0.0,0.0,0.0,0.43274467733949495,7.0,0.6931471805599453,5.0
2.0,2.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0961654838532211,3.0,0.6931471805599453,0.0
29.0,29.0,29.0,29.0,120.83333333333333,0.16,0.0,0.0,1.394399515871706,17.44,0.6931471805599453,36.0
52.0,52.0,52.0,52.0,118.18181818181819,0.17777777777777778,0.0,0.0,2.5003025801837486,28.291666666666668,0.6931471805599453,25.0
3.0,3.0,3.0,3.0,42.857142857142854,0.0,0.0,0.0,0.14424822577983165,4.25,0.6931471805599453,1.0
14.0,14.0,14.0,14.0,107.6923076923077,0.14285714285714285,0.0,0.0,0.6731583869725477,5.166666666666667,0.6931471805599453,22.0
21.0,21.0,21.0,21.0,140.0,0.25,0.0,0.0,1.0097375804588216,30.41176470588235,0.6931471805599453,76.0
7.0,7.0,7.0,7.0,53.84615384615385,0.07142857142857142,0.0,0.0,0.33657919348627385,7.0,0.6931471805599453,3.0
12.0,12.0,12.0,12.0,300.0,0.6,0.0,0.0,0.5769929031193266,21.066666666666666,0.6931471805599453,94.0
10.0,10.0,10.0,10.0,200.0,0.3333333333333333,0.0,0.0,0.4808274192661055,21.9,0.6931471805599453,7.0
20.0,20.0,20.0,20.0,133.33333333333331,0.125,0.0,0.0,0.9438143657932473,12.0,0.6931471805599453,45.0
1.5,1.5,1.5,1.5,50.0,0.0,0.48056586152556113,0.0,0.14157215486898708,4.0,1.0986122886681098,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,30.0
2.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,0.09438143657932473,7.444444444444445,0.6931471805599453,28.0
16.5,16.5,16.5,16.5,104.16666666666667,0.04,1.2672017569534955,0.0,1.1797679572415591,36.53846153846154,1.0986122886681098,11.0
8.0,8.0,8.0,8.0,80.0,0.18181818181818182,0.0,0.0,0.3775257463172989,8.0,0.6931471805599453,2.0
23.0,23.0,23.0,23.0,176.9230769230769,0.21428571428571427,0.0,0.0,1.0853865206622344,15.25,0.6931471805599453,44.0
23.0,23.0,23.0,23.0,195.0,0.2857142857142857,0.9734453834702523,0.0,1.8404380132968323,35.0,1.0986122886681098,4.0
19.0,19.0,19.0,19.0,82.6086956521739,0.08333333333333333,0.0,0.0,0.8966236475035849,19.0,0.6931471805599453,10.0
17.0,17.0,17.0,17.0,96.96969696969697,0.11764705882352941,0.7653105977842745,0.0,1.5101029852691956,15.2,1.0986122886681098,0.0
48.0,48.0,48.0,48.0,126.3157894736842,0.15384615384615385,0.0,0.0,2.2651544779037933,31.227272727272727,0.6931471805599453,43.0
16.0,16.0,16.0,16.0,133.33333333333331,0.23076923076923078,0.0,0.0,0.7550514926345978,16.0,0.6931471805599453,2.0
28.0,28.0,28.0,28.0,233.33333333333334,0.38461538461538464,0.0,0.0,1.3213401121105461,28.0,0.6931471805599453,17.0
29.0,29.0,29.0,29.0,170.58823529411765,0.3333333333333333,0.0,0.0,1.3685308304002086,33.2,0.6931471805599453,20.0
12.0,12.0,12.0,12.0,153.33333333333334,0.25,0.7247974698475045,0.0,1.0853865206622344,28.09090909090909,1.0986122886681098,13.0
32.0,32.0,32.0,32.0,78.04878048780488,0.09523809523809523,0.0,0.0,1.5143778207607994,25.0,0.6931471805599453,12.0
23.0,23.0,23.0,23.0,95.83333333333334,0.12,0.0,0.0,1.0884590586718246,24.636363636363637,0.6931471805599453,8.0
10.0,10.0,10.0,10.0,100.0,0.09090909090909091,0.0,0.0,0.4732430689877498,10.0,0.6931471805599453,12.0
